Frame,Number_of_Vehicles,Average_Speed_km/h,Traffic_Density,Queue_Length_meters,Emergency_Vehicles
frame_0000.jpg,13,0,0.626929,4.22,no
frame_0029.jpg,14,162.55,0.675154,5.68,no
frame_0058.jpg,15,203.98,0.72338,6.93,no
frame_0087.jpg,17,121.75,0.81983,4.78,no
frame_0116.jpg,16,159.24,0.771605,4.69,no
frame_0145.jpg,13,145.64,0.626929,5.57,no
frame_0174.jpg,15,126.72,0.72338,6.28,no
frame_0203.jpg,11,205.58,0.530478,5.31,no
frame_0232.jpg,13,196.14,0.626929,5.77,no
frame_0261.jpg,15,163.72,0.72338,6.33,no
frame_0290.jpg,12,89.6,0.578704,4.36,no
frame_0319.jpg,15,135.2,0.72338,5.42,no
frame_0348.jpg,15,187.24,0.72338,6.45,no
frame_0377.jpg,16,215.76,0.771605,7.1,no
frame_0406.jpg,16,232.27,0.771605,8.17,no
frame_0435.jpg,14,198.46,0.675154,4.41,no
frame_0464.jpg,14,142.33,0.675154,4.83,no
frame_0493.jpg,16,162.51,0.771605,8.65,no
frame_0522.jpg,16,246.85,0.771605,8.25,no
frame_0551.jpg,16,175.55,0.771605,4.56,no
frame_0580.jpg,17,96.59,0.81983,5.02,no
frame_0609.jpg,18,172.27,0.868056,5.76,no
frame_0638.jpg,14,120.03,0.675154,6.15,no
frame_0667.jpg,19,230.66,0.916281,6.12,no
frame_0696.jpg,15,130.42,0.72338,6.39,no
frame_0725.jpg,19,205.29,0.916281,7.56,no
frame_0754.jpg,17,154.47,0.81983,6.27,no
frame_0783.jpg,15,276.07,0.72338,6.37,no
