Frame,Number_of_Vehicles,Average_Speed_km/h,Traffic_Density,Queue_Length_meters,Emergency_Vehicles
frame_0000.jpg,33,0,9.94647,7.86,no
frame_0023.jpg,24,211.66,7.233796,7.35,no
frame_0046.jpg,28,248.89,8.439429,7.74,no
frame_0069.jpg,23,283.4,6.932388,7.26,no
frame_0092.jpg,27,197.61,8.138021,7.59,no
frame_0115.jpg,20,200.44,6.028164,7.12,no
frame_0138.jpg,28,210.66,8.439429,7.55,no
frame_0161.jpg,25,131.26,7.535204,6.94,no
frame_0184.jpg,21,250.31,6.329572,7.69,no
frame_0207.jpg,25,253.06,7.535204,7.14,no
frame_0230.jpg,25,211.66,7.535204,7.34,no
frame_0253.jpg,22,274.49,6.63098,7.38,no
frame_0276.jpg,22,224.59,6.63098,7.12,no
frame_0299.jpg,22,213.6,6.63098,7.0,no
frame_0322.jpg,23,208.16,6.932388,7.35,no
frame_0345.jpg,21,196.81,6.329572,7.28,no
frame_0368.jpg,25,203.04,7.535204,6.83,no
frame_0391.jpg,27,258.32,8.138021,7.21,no
frame_0414.jpg,25,221.12,7.535204,7.08,no
frame_0437.jpg,26,248.0,7.836613,6.99,no
frame_0460.jpg,34,212.21,10.247878,6.87,no
frame_0483.jpg,27,251.27,8.138021,7.21,no
